TRANSCRIPT_ID	GENE_NAME
ENST00000234454.6	SPR
ENST00000394111.6	EMX1
ENST00000258106.11	EMX1
ENST00000615411.1	AC012366.1
ENST00000272433.6	SFXN5
ENST00000410065.5	SFXN5
ENST00000486777.6	RAB11FIP5
ENST00000258098.6	RAB11FIP5
ENST00000608612.1	AC010913.1
ENST00000398468.4	NOTO
ENST00000389501.9	SMYD5
ENST00000629411.2	SMYD5
ENST00000258083.3	PRADC1
ENST00000539919.5	CCT7
ENST00000540468.5	CCT7
ENST00000398422.2	CCT7
ENST00000258091.10	CCT7
ENST00000626868.1	CCT7
ENST00000295133.9	FBXO41
ENST00000521871.5	FBXO41
ENST00000520530.2	FBXO41
ENST00000436467.4	EGR4
ENST00000545030.1	EGR4
ENST00000517179.1	RNU6-111P
ENST00000661452.1	AC069404.1
ENST00000646469.1	AC074008.2
ENST00000437188.1	RPSAP28
ENST00000484298.5	ALMS1
ENST00000613296.5	ALMS1
ENST00000614410.4	ALMS1
ENST00000441587.3	ALMS1-IT1
ENST00000643055.1	AC074008.1
ENST00000272425.4	NAT8
ENST00000652439.1	ALMS1P1
ENST00000428767.1	ALMS1P1
ENST00000377712.3	NAT8B
ENST00000272424.10	TPRKB
ENST00000318190.7	TPRKB
ENST00000409716.6	TPRKB
ENST00000608509.1	AC092653.1
ENST00000624373.1	AC092653.2
ENST00000272444.7	DUSP11
ENST00000443070.5	DUSP11
ENST00000409561.1	C2orf78
ENST00000666273.1	AC073046.4
ENST00000339566.7	STAMBP
ENST00000394070.7	STAMBP
ENST00000409707.5	STAMBP
ENST00000394073.5	STAMBP
ENST00000536064.1	STAMBP
ENST00000650890.1	AC073046.3
ENST00000604756.1	AC073046.2
ENST00000409731.7	ACTG2
ENST00000409918.5	ACTG2
ENST00000345517.8	ACTG2
ENST00000409624.1	ACTG2
ENST00000629438.2	DGUOK
ENST00000348222.3	DGUOK
ENST00000264093.9	DGUOK
ENST00000667561.1	DGUOK-AS1
ENST00000453103.1	DGUOK-AS1
ENST00000365006.1	RNA5SP97
ENST00000441217.1	AC073046.1
ENST00000409262.7	TET3
ENST00000623590.1	AC110801.1
ENST00000305799.8	TET3
ENST00000551203.1	FNBP1P1
ENST00000652224.1	AC073263.1
ENST00000616370.1	AC073263.1
ENST00000401851.2	AC073263.1
ENST00000327428.10	BOLA3
ENST00000295326.4	BOLA3
ENST00000656407.1	BOLA3-AS1
ENST00000396049.5	MOB1A
ENST00000624449.1	AC073263.3
ENST00000624835.2	AC073263.2
ENST00000409804.5	MTHFD2
ENST00000394053.7	MTHFD2
ENST00000409601.1	MTHFD2
ENST00000451608.2	AC006030.1
ENST00000394019.6	SLC4A5
ENST00000346834.8	SLC4A5
ENST00000423644.5	SLC4A5
ENST00000358683.8	SLC4A5
ENST00000377632.5	SLC4A5
ENST00000377634.8	SLC4A5
ENST00000454475.1	KRT18P26
ENST00000516405.1	RNU6-542P
ENST00000455668.1	NECAP1P2
ENST00000416876.1	TAF13P2
ENST00000361874.7	DCTN1
ENST00000394003.7	DCTN1
ENST00000628224.2	DCTN1
ENST00000409438.5	DCTN1
ENST00000633691.1	DCTN1
ENST00000409240.5	DCTN1
ENST00000409868.5	DCTN1
ENST00000409567.7	DCTN1
ENST00000664266.1	DCTN1-AS1
ENST00000664792.1	DCTN1-AS1
ENST00000517883.2	AC005041.1
ENST00000448783.2	AC005041.2
ENST00000612891.4	C2orf81
ENST00000640868.1	C2orf81
ENST00000290390.9	C2orf81
ENST00000666479.1	AC005041.4
ENST00000414130.1	HMGA1P8
ENST00000409791.5	WDR54
ENST00000348227.4	WDR54
ENST00000272430.10	RTKN
ENST00000305557.9	RTKN
ENST00000233330.6	RTKN
ENST00000233331.12	INO80B
ENST00000452361.5	INO80B-WBP1
ENST00000409917.5	INO80B
ENST00000393972.7	WBP1
ENST00000233615.7	WBP1
ENST00000409737.5	WBP1
ENST00000448666.6	MOGS
ENST00000409065.5	MOGS
ENST00000649601.1	MOGS
ENST00000462443.2	MOGS
ENST00000649075.1	MOGS
ENST00000648810.1	MOGS
ENST00000452063.7	MOGS
ENST00000656025.1	AC005041.5
ENST00000258105.8	MRPL53
ENST00000409710.1	MRPL53
ENST00000393965.8	CCDC142
ENST00000290418.4	CCDC142
ENST00000233623.10	TTC31
ENST00000442235.6	TTC31
ENST00000410003.5	TTC31
ENST00000377566.9	LBX2
ENST00000460508.3	LBX2
ENST00000341396.2	LBX2
ENST00000606287.1	AC005041.3
ENST00000603175.1	LBX2-AS1
ENST00000548978.2	LBX2-AS1
ENST00000233630.11	PCGF1
ENST00000621092.1	TLX2
ENST00000233638.8	TLX2
ENST00000393951.6	DQX1
ENST00000404568.4	DQX1
ENST00000377526.4	AUP1
ENST00000258080.7	HTRA2
ENST00000352222.7	HTRA2
ENST00000264094.8	LOXL3
ENST00000409249.5	LOXL3
ENST00000393937.6	LOXL3
ENST00000409549.5	LOXL3
ENST00000409986.5	LOXL3
ENST00000409429.5	DOK1
ENST00000233668.9	DOK1
ENST00000340004.6	DOK1
ENST00000290536.9	M1AP
ENST00000409585.5	M1AP
ENST00000536235.5	M1AP
ENST00000428904.1	AC005033.1
ENST00000455082.1	TVP23BP2
ENST00000611975.4	SEMA4F
ENST00000357877.7	SEMA4F
ENST00000339773.9	SEMA4F
ENST00000660620.1	AC007387.3
ENST00000421570.1	AC007387.1
ENST00000671357.1	AC007387.2
ENST00000610008.1	AC019069.1
ENST00000290573.6	HK2
ENST00000409174.1	HK2
ENST00000435984.1	LINC01291
ENST00000418001.1	AC104135.1
ENST00000377469.1	LINC01291
ENST00000418204.1	LINC01291
ENST00000453951.1	LINC01293
ENST00000483063.2	POLE4
ENST00000305249.10	TACR1
ENST00000409848.3	TACR1
ENST00000577717.1	MIR5000
ENST00000604271.2	AC007681.1
ENST00000424400.1	GAPDHP57
ENST00000444852.1	AC007099.2
ENST00000459339.1	AC007099.3
ENST00000393913.8	EVA1A
ENST00000233712.5	EVA1A
ENST00000410113.5	EVA1A
ENST00000410010.1	EVA1A
ENST00000410071.5	EVA1A
ENST00000451622.2	AC007099.1
ENST00000426657.1	AC005034.1
ENST00000408711.2	U3
ENST00000393909.7	MRPL19
ENST00000358788.10	MRPL19
ENST00000409374.5	MRPL19
ENST00000423067.1	SUPT4H1P1
ENST00000604845.1	AC005034.3
ENST00000321027.8	GCFC2
ENST00000541687.5	GCFC2
ENST00000409857.7	GCFC2
ENST00000604219.1	AC005034.5
ENST00000604464.1	AC005034.2
ENST00000470503.1	GCFC2
ENST00000652200.1	AC005034.6
ENST00000603612.1	AC005034.4
ENST00000670606.1	AC110614.1
ENST00000417269.1	SUCLA2P2
ENST00000654219.1	AC073091.3
ENST00000669342.1	AC073091.4
ENST00000398059.3	AC073091.1
ENST00000603205.1	AC073091.2
ENST00000363618.1	RN7SKP203
ENST00000516138.1	RN7SKP164
ENST00000665445.1	AC068616.2
ENST00000669532.1	AC068616.3
ENST00000651711.1	AC068616.1
ENST00000409911.5	LRRTM4
ENST00000409884.5	LRRTM4
ENST00000409093.1	LRRTM4
ENST00000363158.1	RNA5SP98
ENST00000659408.1	AC079117.2
ENST00000445178.1	AC079117.1
ENST00000653521.1	AC013716.1
ENST00000409088.3	LRRTM4
ENST00000409282.1	LRRTM4
ENST00000667782.1	AC012494.1
ENST00000438443.1	AC084149.1
ENST00000422418.1	AC105399.1
ENST00000447303.1	AC105399.1
ENST00000661594.1	LINC01851
ENST00000654589.1	AC012494.2
ENST00000434498.1	CYCSP6
ENST00000604823.1	AC064872.1
ENST00000420648.2	AC092660.1
ENST00000652628.1	AC092604.1
ENST00000365553.1	RNU6-827P
ENST00000363178.1	RNU6-812P
ENST00000393897.6	REG3G
ENST00000272324.10	REG3G
ENST00000409471.1	REG3G
ENST00000305089.8	REG1B
ENST00000233735.2	REG1A
ENST00000377435.8	REG1CP
ENST00000444841.5	REG1CP
ENST00000447469.5	REG1CP
ENST00000450249.5	REG1CP
ENST00000434852.1	REG1CP
ENST00000409839.7	REG3A
ENST00000393878.5	REG3A
ENST00000305165.2	REG3A
ENST00000415201.1	AC011754.1
ENST00000466387.5	CTNNA2
ENST00000651336.1	AC011754.2
ENST00000668932.1	AC010975.1
ENST00000496558.5	CTNNA2
ENST00000629316.2	CTNNA2
ENST00000618727.1	AC010975.3
ENST00000427781.1	AC010975.2
ENST00000409266.5	CTNNA2
ENST00000516222.1	RNU6-561P
ENST00000583520.1	MIR4264
ENST00000402739.8	CTNNA2
ENST00000622224.1	MIR8080
ENST00000418621.1	AC016716.2
ENST00000265882.5	AC016716.1
ENST00000295057.4	LRRTM1
ENST00000409148.1	LRRTM1
ENST00000541047.5	CTNNA2
ENST00000343114.7	CTNNA2
ENST00000361291.8	CTNNA2
ENST00000540488.5	CTNNA2
ENST00000430876.5	AC008067.1
ENST00000450290.1	AC012355.1
ENST00000378334.3	AC105342.1
ENST00000436549.1	AC012075.1
ENST00000641468.1	LINC01815
ENST00000364020.1	RNA5SP99
ENST00000426710.1	AC013262.1
ENST00000482306.3	RN7SL201P
ENST00000455845.1	AC079896.1
ENST00000436977.1	LYARP1
ENST00000517088.1	RNU6-685P
ENST00000364441.1	Y_RNA
ENST00000651910.1	AC010105.1
ENST00000417406.1	AC109638.1
ENST00000441039.1	MTND4P25
ENST00000428871.1	MTND5P27
ENST00000433237.1	MTND6P7
ENST00000419540.1	MTCYBP7
ENST00000652642.1	AC098817.1
ENST00000455595.1	DHFRP3
ENST00000418060.1	AC138623.1
ENST00000448431.1	LINC01809
ENST00000412884.1	RPL37P10
ENST00000362425.1	RNU6-1312P
ENST00000442571.1	AC016908.1
ENST00000451049.1	ST6GALNAC2P1
ENST00000331369.5	FUNDC2P2
ENST00000443452.1	FUNDC2P2
ENST00000440495.1	AC106874.1
ENST00000393868.7	SUCLG1
ENST00000389394.7	DNAH6
ENST00000237449.10	DNAH6
ENST00000556632.1	DUXAP1
ENST00000398295.3	LDHAP7
ENST00000335459.9	TRABD2A
ENST00000409520.7	TRABD2A
ENST00000409133.1	TRABD2A
ENST00000618630.1	AC010087.1
ENST00000437175.1	RPL12P18
ENST00000233143.6	TMSB10
ENST00000449856.1	AC022210.1
ENST00000671359.1	AC022210.2
ENST00000409785.9	KCMF1
ENST00000567718.1	LINC01964
ENST00000411597.1	AC078974.1
ENST00000436601.1	LSM3P3
ENST00000282111.4	TCF7L1
ENST00000433581.1	TCF7L1-IT1
ENST00000363831.1	RNU6-674P
ENST00000419682.1	AC093162.1
ENST00000501107.2	AC093162.2
ENST00000282120.6	TGOLN2
ENST00000377386.8	TGOLN2
ENST00000398263.6	TGOLN2
ENST00000409015.5	TGOLN2
ENST00000409232.7	TGOLN2
ENST00000444342.2	TGOLN2
ENST00000458902.1	Y_RNA
ENST00000603980.1	PEBP1P2
ENST00000295802.9	RETSAT
ENST00000409344.7	ELMOD3
ENST00000393852.8	ELMOD3
ENST00000409013.8	ELMOD3
ENST00000315658.11	ELMOD3
ENST00000409890.6	ELMOD3
ENST00000605302.1	AC062037.1
ENST00000365512.1	Y_RNA
ENST00000619959.1	RN7SL113P
ENST00000610137.1	AC062037.2
ENST00000263867.9	CAPG
ENST00000409921.5	CAPG
ENST00000409670.5	CAPG
ENST00000409724.5	CAPG
ENST00000650829.1	AC062037.3
ENST00000469800.6	AC062037.3
ENST00000651365.1	AC062037.3
ENST00000474753.2	AC062037.3
ENST00000651084.1	AC062037.3
ENST00000651736.1	SH2D6
ENST00000384478.1	Y_RNA
ENST00000464175.3	RN7SL251P
ENST00000363066.1	Y_RNA
ENST00000453567.1	RPSAP22
ENST00000667933.1	PARTICL
ENST00000306434.8	MAT2A
ENST00000409017.1	MAT2A
ENST00000233838.9	GGCX
ENST00000430215.7	GGCX
ENST00000432071.1	VAMP8
ENST00000616400.1	RN7SL126P
ENST00000263864.10	VAMP8
ENST00000409760.1	VAMP8
ENST00000306384.5	VAMP5
ENST00000441634.5	RNF181
ENST00000306368.9	RNF181
ENST00000334462.10	TMEM150A
ENST00000306353.7	TMEM150A
ENST00000409668.1	TMEM150A
ENST00000306336.6	C2orf68
ENST00000409734.3	C2orf68
ENST00000450066.6	USP39
ENST00000613444.4	USP39
ENST00000409025.5	USP39
ENST00000409470.5	USP39
ENST00000323701.11	USP39
ENST00000409766.7	USP39
ENST00000519937.7	SFTPB
ENST00000393822.7	SFTPB
ENST00000409383.6	SFTPB
ENST00000657500.1	SFTPB
ENST00000443948.1	AC012454.1
ENST00000263863.8	GNLY
ENST00000524600.5	GNLY
ENST00000409696.7	GNLY
ENST00000362817.1	RNU1-38P
ENST00000306279.4	ATOH8
ENST00000616741.1	MIR6071
ENST00000366278.2	AC105053.1
ENST00000516512.1	RN7SKP83
ENST00000638572.2	ST3GAL5
ENST00000393808.8	ST3GAL5
ENST00000393805.6	ST3GAL5
ENST00000640322.1	ST3GAL5
ENST00000377332.8	ST3GAL5
ENST00000639119.1	ST3GAL5
ENST00000640418.1	ST3GAL5
ENST00000639432.1	ST3GAL5
ENST00000640982.1	ST3GAL5
ENST00000640992.1	ST3GAL5
ENST00000638178.1	ST3GAL5
ENST00000638986.1	ST3GAL5
ENST00000665352.1	ST3GAL5-AS1
ENST00000608140.1	AC012511.1
ENST00000657518.1	AC012511.2
ENST00000263857.11	POLR1A
ENST00000409681.1	POLR1A
ENST00000254630.12	PTCD3
ENST00000627371.1	PTCD3
ENST00000386037.1	SNORD94
ENST00000254636.9	IMMT
ENST00000449247.6	IMMT
ENST00000410111.7	IMMT
ENST00000442664.6	IMMT
ENST00000409051.6	IMMT
ENST00000620815.4	IMMT
ENST00000363371.1	Y_RNA
ENST00000579234.1	MIR4779
ENST00000610262.1	AC009309.1
ENST00000254644.12	MRPL35
ENST00000605125.5	MRPL35
ENST00000337109.9	MRPL35
ENST00000409180.1	MRPL35
ENST00000165698.9	REEP1
ENST00000538924.6	REEP1
ENST00000535845.6	REEP1
ENST00000541910.6	REEP1
ENST00000453231.6	REEP1
ENST00000365667.1	U8
ENST00000516165.1	AC009408.1
ENST00000409556.5	KDM3A
ENST00000312912.10	KDM3A
ENST00000409064.5	KDM3A
ENST00000263856.9	CHMP3
ENST00000409727.5	CHMP3
ENST00000409225.2	CHMP3
ENST00000604011.5	RNF103-CHMP3
ENST00000363693.1	RNU6-640P
ENST00000439077.1	AC015971.1
ENST00000237455.5	RNF103
ENST00000426549.1	AC015971.1
ENST00000424788.1	AC015971.1
ENST00000283632.5	RMND5A
ENST00000352580.7	CD8A
ENST00000283635.7	CD8A
ENST00000409511.6	CD8A
ENST00000409781.1	CD8A
ENST00000393761.6	CD8B
ENST00000393759.6	CD8B
ENST00000349455.7	CD8B
ENST00000331469.6	CD8B
ENST00000390655.12	CD8B
ENST00000431506.3	CD8B
ENST00000616781.4	ANAPC1P1
ENST00000426186.2	ANAPC1P1
ENST00000358778.4	AC111200.1
ENST00000409776.6	RGPD1
ENST00000398193.8	RGPD1
ENST00000559485.2	RGPD1
ENST00000418877.1	AC111200.2
ENST00000415445.1	NDUFB4P5
ENST00000641458.1	RGPD1
ENST00000409310.6	PLGLB1
ENST00000355705.3	PLGLB1
ENST00000648819.1	AC125232.2
ENST00000452554.3	AC125232.1
ENST00000592457.2	AC092651.2
ENST00000667385.1	AC092651.3
ENST00000426110.1	AC092651.1
ENST00000454465.2	AC083899.1
ENST00000582617.1	MIR4771-1
ENST00000423285.1	AC083899.2
ENST00000626392.1	LINC01955
ENST00000603413.1	AC083899.3
ENST00000664547.1	AC068279.2
ENST00000421835.2	IGKV3OR2-268
ENST00000444323.1	AC068279.1
ENST00000625410.1	LINC01943
ENST00000642796.1	CYTOR
ENST00000642451.1	CYTOR
ENST00000646386.1	CYTOR
ENST00000644125.1	CYTOR
ENST00000409898.2	CYTOR
ENST00000419680.6	CYTOR
ENST00000644976.1	CYTOR
ENST00000643070.1	CYTOR
ENST00000646855.1	AC133644.3
ENST00000414584.1	CYTOR
ENST00000642293.1	CYTOR
ENST00000628090.1	LINC01943
ENST00000608142.1	AC133644.2
ENST00000398171.3	AC133644.1
ENST00000582552.1	MIR4435-1
ENST00000452984.1	AC133965.1
ENST00000427434.2	AC093616.1
ENST00000359481.9	PLGLB2
ENST00000398146.4	RGPD2
ENST00000638730.1	RGPD2
ENST00000435212.2	MTATP8P2
ENST00000423198.1	NDUFB4P7
ENST00000431142.1	AC108479.1
ENST00000617314.1	AC108479.2
ENST00000672638.1	AC108479.4
ENST00000410792.1	RNU2-63P
ENST00000665969.1	AC108479.3
ENST00000347055.4	KRCC1
ENST00000672766.1	KRCC1
ENST00000444564.2	SMYD1
ENST00000419482.7	SMYD1
ENST00000438570.1	SMYD1
ENST00000584268.1	MIR4780
ENST00000295834.8	FABP1
ENST00000393750.3	FABP1
ENST00000377254.7	THNSL2
ENST00000449349.5	THNSL2
ENST00000343544.8	THNSL2
ENST00000324166.6	THNSL2
ENST00000449328.1	MRPL45P1
ENST00000636931.1	U6
ENST00000390831.1	RNU6-1168P
ENST00000516586.2	RNU6-1007P
ENST00000451912.1	AC012671.1
ENST00000428390.3	FOXI3
ENST00000303254.4	TEX37
ENST00000413234.1	AC104134.1
ENST00000303236.9	EIF2AK3
ENST00000453008.2	EIF2AK3-DT
ENST00000606164.1	EIF2AK3-DT
ENST00000668866.1	AC062029.1
ENST00000283646.5	RPIA
ENST00000421951.5	ANKRD36BP2
ENST00000622311.4	ANKRD36BP2
ENST00000575193.1	ANKRD36BP2
ENST00000434790.2	AC244205.2
ENST00000624935.3	AC244205.1
ENST00000635781.1	AC244205.2
ENST00000585278.1	MIR4436A
ENST00000390237.2	IGKC
ENST00000390238.2	IGKJ5
ENST00000390239.2	IGKJ4
ENST00000390240.2	IGKJ3
ENST00000390241.3	IGKJ2
ENST00000390242.2	IGKJ1
ENST00000390243.2	IGKV4-1
ENST00000390244.2	IGKV5-2
ENST00000357453.2	IGKV7-3
ENST00000445958.1	PGBD4P5
ENST00000523070.1	IGKV2-4
ENST00000496168.1	IGKV1-5
ENST00000464162.1	IGKV1-6
ENST00000390247.2	IGKV3-7
ENST00000495489.1	IGKV1-8
ENST00000493819.1	IGKV1-9
ENST00000518834.1	IGKV2-10
ENST00000483158.1	IGKV3-11
ENST00000480492.1	IGKV1-12
ENST00000521705.1	IGKV1-13
ENST00000517571.1	IGKV2-14
ENST00000390252.2	IGKV3-15
ENST00000479981.1	IGKV1-16
ENST00000490686.1	IGKV1-17
ENST00000522607.1	IGKV2-18
ENST00000518132.1	IGKV2-19
ENST00000492167.1	IGKV3-20
ENST00000390256.2	IGKV6-21
ENST00000524313.1	IGKV1-22
ENST00000518729.1	IGKV2-23
ENST00000484817.1	IGKV2-24
ENST00000523155.1	IGKV3-25
ENST00000518305.1	IGKV2-26
ENST00000613463.1	AC244255.1
ENST00000498435.1	IGKV1-27
ENST00000482769.1	IGKV2-28
ENST00000521304.1	IGKV2-29
ENST00000468494.1	IGKV2-30
ENST00000523109.1	IGKV3-31
ENST00000519290.1	IGKV1-32
ENST00000558152.2	IGKV1-33
ENST00000521692.1	IGKV3-34
ENST00000517744.1	IGKV1-35
ENST00000519999.1	IGKV2-36
ENST00000465170.1	IGKV1-37
ENST00000517443.1	IGKV2-38
ENST00000498574.1	IGKV1-39
ENST00000621595.1	IGKV2-40
ENST00000636949.1	AC006453.4
ENST00000636531.1	AC006453.2
ENST00000635968.1	AC006453.2
ENST00000645145.1	AC006453.2
ENST00000612131.1	5S_rRNA
ENST00000636037.1	AC006453.1
ENST00000635891.1	AC006453.3
ENST00000636451.1	AC006453.5
ENST00000560045.1	IGKV2D-40
ENST00000448155.2	IGKV1D-39
ENST00000518423.1	IGKV2D-38
ENST00000509129.1	IGKV1D-37
ENST00000518643.1	IGKV2D-36
ENST00000442736.2	IGKV1D-35
ENST00000522638.1	IGKV3D-34
ENST00000611734.1	IGKV1D-33
ENST00000517449.1	IGKV1D-32
ENST00000519131.1	IGKV3D-31
ENST00000474213.1	IGKV2D-30
ENST00000612356.1	IGKV2D-29
ENST00000558026.1	IGKV2D-28
ENST00000453184.2	IGKV1D-27
ENST00000390268.2	IGKV2D-26
ENST00000519599.1	IGKV3D-25
ENST00000462693.1	IGKV2D-24
ENST00000518179.1	IGKV2D-23
ENST00000518953.1	IGKV1D-22
ENST00000436451.2	IGKV6D-21
ENST00000390270.2	IGKV3D-20
ENST00000523346.1	IGKV2D-19
ENST00000519785.1	IGKV2D-18
ENST00000390271.2	IGKV6D-41
ENST00000483379.1	IGKV1D-17
ENST00000492446.1	IGKV1D-16
ENST00000417279.3	IGKV3D-15
ENST00000522473.1	IGKV2D-14
ENST00000611391.1	IGKV1D-13
ENST00000377032.5	IGKV1D-12
ENST00000390277.3	IGKV3D-11
ENST00000520194.1	IGKV2D-10
ENST00000390278.3	IGKV1D-42
ENST00000468879.1	IGKV1D-43
ENST00000471857.2	IGKV1D-8
ENST00000443397.5	IGKV3D-7
ENST00000621327.1	AC233263.2
ENST00000603238.1	IGKV1OR2-118
ENST00000578059.2	AC233263.1
ENST00000631132.1	AC233263.6
ENST00000454518.1	AC233266.1
ENST00000567067.1	AC233266.2
ENST00000612102.1	AC116050.1
ENST00000609777.5	LSP1P4
ENST00000423774.2	LSP1P4
ENST00000410903.1	RNA5SP100
ENST00000456605.1	DRD5P1
ENST00000436174.5	AC027612.2
ENST00000445955.1	AC027612.2
ENST00000605371.1	AC027612.4
ENST00000445234.1	AC027612.1
ENST00000413684.1	AC027612.3
ENST00000655443.1	AC027612.5
ENST00000418938.2	GGT8P
ENST00000514060.2	IGKV1OR2-1
ENST00000445663.1	ABCD1P5
ENST00000411737.2	AC127391.1
ENST00000445594.1	PABPC1P6
ENST00000398120.6	SLC9B1P2
ENST00000413404.1	ACTR3BP2
ENST00000416118.1	CHEK2P3
ENST00000436016.1	AC128677.1
ENST00000451163.2	IGKV1OR2-2
ENST00000651585.1	AC026273.1
ENST00000651108.1	AC026273.1
ENST00000562821.5	AL845331.3
ENST00000562856.1	AL845331.3
ENST00000561882.1	AL845331.2
ENST00000429351.1	CNN2P11
ENST00000424978.2	AL845331.1
ENST00000421872.1	CNN2P8
ENST00000422564.1	AC073464.2
ENST00000426492.1	CYP4F32P
ENST00000412994.1	AC073464.1
ENST00000429308.1	SNX18P14
ENST00000432432.7	ANKRD20A8P
ENST00000390838.1	RNU6-1320P
ENST00000618617.1	AC097374.2
ENST00000568768.5	AC097374.1
ENST00000582835.1	AC097374.1
ENST00000295201.5	TEKT4
ENST00000400783.4	AC097374.1
ENST00000448024.1	MTCO1P48
ENST00000443036.1	MTCO3P45
ENST00000452670.1	RPS24P6
ENST00000428055.1	AC103563.3
ENST00000454384.1	AC103563.4
ENST00000455643.1	AC103563.5
ENST00000429316.1	AC103563.1
ENST00000432787.1	AC103563.6
ENST00000415716.1	AC103563.8
ENST00000620774.1	RN7SL575P
ENST00000448734.1	AC103563.7
ENST00000309988.9	MAL
ENST00000349807.3	MAL
ENST00000353004.7	MAL
ENST00000354078.7	MAL
ENST00000442200.1	AC103563.2
ENST00000657998.1	AC103563.9
ENST00000272418.7	MRPS5
ENST00000295208.7	ZNF514
ENST00000411425.1	ZNF514
ENST00000617923.4	ZNF2
ENST00000611463.1	ZNF2
ENST00000622059.4	ZNF2
ENST00000614034.5	ZNF2
ENST00000611147.1	ZNF2
ENST00000612939.1	SLC2AXP1
ENST00000425953.5	AC092835.1
ENST00000317620.14	PROM2
ENST00000403131.6	PROM2
ENST00000317668.8	PROM2
ENST00000295225.10	KCNIP3
ENST00000360990.7	KCNIP3
ENST00000468529.1	KCNIP3
ENST00000429946.1	FABP7P2
ENST00000233379.9	FAHD2A
ENST00000447036.5	FAHD2A
ENST00000512705.1	AC009238.3
ENST00000431026.1	AC009238.2
ENST00000442165.1	AC009238.1
ENST00000443682.1	UBTFL5
ENST00000615272.1	AC133104.2
ENST00000429100.1	AC133104.1
ENST00000639673.1	TRIM43B
ENST00000432468.1	TRIM43B
ENST00000425635.1	AC009237.11
ENST00000442127.1	AC009237.1
ENST00000414112.1	AC009237.10
ENST00000421358.1	AC009237.2
ENST00000427305.2	TRIM64FP
ENST00000609975.1	AC009237.14
ENST00000393279.2	AC009237.3
ENST00000608013.1	AC009237.3
ENST00000442128.2	AC009237.3
ENST00000445492.1	AC009237.8
ENST00000610252.1	AC009237.15
ENST00000414271.2	AC009237.5
ENST00000448855.1	OR7E102P
ENST00000443564.2	TRIM51JP
ENST00000612987.1	AC009237.16
ENST00000441078.1	AC009237.4
ENST00000272395.3	TRIM43
ENST00000447357.1	AC009237.7
ENST00000603193.1	AC009237.13
ENST00000604755.1	AC009237.12
ENST00000418934.2	UBTFL3
ENST00000618111.1	AC009237.17
ENST00000446969.1	AC009237.6
ENST00000414800.1	AC009237.9
ENST00000658646.1	AC008268.1
ENST00000471661.5	GPAT2P1
ENST00000444924.1	GPAT2P1
ENST00000660641.1	LINC00342
ENST00000657232.1	LINC00342
ENST00000663557.1	LINC00342
ENST00000412393.5	LINC00342
ENST00000659287.1	LINC00342
ENST00000612359.4	ANKRD36C
ENST00000456556.5	ANKRD36C
ENST00000295246.6	ANKRD36C
ENST00000619511.1	ANKRD36C
ENST00000484688.3	RN7SL210P
ENST00000467292.6	FAHD2CP
ENST00000443258.7	FAHD2CP
ENST00000427863.1	FAHD2CP
ENST00000359548.8	GPAT2
ENST00000434632.5	GPAT2
ENST00000453542.5	GPAT2
ENST00000620793.2	ADRA2B
ENST00000342380.2	ASTL
ENST00000288943.5	DUSP2
ENST00000449242.1	AC012307.1
ENST00000337288.9	STARD7
ENST00000665242.1	STARD7-AS1
ENST00000258439.7	TMEM127
ENST00000432959.1	TMEM127
ENST00000435268.1	TMEM127
ENST00000488633.2	CIAO1
ENST00000323853.10	SNRNP200
ENST00000421534.1	AC021188.1
ENST00000536814.1	ITPRIPL1
ENST00000439118.2	ITPRIPL1
ENST00000361124.5	ITPRIPL1
ENST00000240423.9	NCAPH
ENST00000427946.5	NCAPH
ENST00000455200.5	NCAPH
ENST00000310865.7	NEURL3
ENST00000451794.6	NEURL3
ENST00000435380.3	NEURL3
ENST00000425578.1	AC013270.1
ENST00000357485.8	ARID5A
ENST00000454558.2	ARID5A
ENST00000431828.6	KANSL3
ENST00000666923.1	KANSL3
ENST00000624922.6	FER1L5
ENST00000641731.1	FER1L5
ENST00000623019.5	FER1L5
ENST00000623246.5	FER1L5
ENST00000264963.8	LMAN2L
ENST00000377079.8	LMAN2L
ENST00000377075.3	CNNM4
ENST00000583925.3	MIR3127
ENST00000608609.1	CNNM3-DT
ENST00000377060.7	CNNM3
ENST00000305510.4	CNNM3
ENST00000318357.9	ANKRD23
ENST00000418232.5	ANKRD23
ENST00000331001.2	ANKRD23
ENST00000393537.5	ANKRD39
ENST00000305476.10	SEMA4C
ENST00000393526.6	FAM178B
ENST00000490605.3	FAM178B
ENST00000661235.1	AC092636.1
ENST00000670174.1	AC092636.1
ENST00000548393.2	Metazoa_SRP
ENST00000517036.1	RNA5SP101
ENST00000615161.1	AC079395.3
ENST00000610982.1	AC079395.2
ENST00000510981.1	AC079395.1
ENST00000422468.1	TRIM43CP
ENST00000451098.1	AC018892.1
ENST00000457656.1	AC018892.2
ENST00000605129.1	IGKV2OR2-1
ENST00000605025.1	IGKV2OR2-2
ENST00000411475.2	IGKV1OR2-3
ENST00000445404.1	GPAT2P2
ENST00000414820.5	FAHD2B
ENST00000272610.3	FAHD2B
ENST00000623986.1	AC018892.3
ENST00000497618.3	RN7SL313P
ENST00000652721.1	ANKRD36
ENST00000639293.1	ANKRD36
ENST00000461153.7	ANKRD36
ENST00000420699.8	ANKRD36
ENST00000620383.1	ANKRD36
ENST00000621110.4	AC159540.2
ENST00000613749.5	AC159540.2
